127.0.0.1 - - [07/Aug/2018:09:35:13 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:35:14 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:35:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:40:33 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:40:34 +0530] "POST /fundoo/user/login HTTP/1.1" 202 223
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:40:34 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:40:34 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:40:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:40:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:42:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:42:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:42:30 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:42:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:45:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:52:33 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:52:33 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:52:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:52:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:52:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:52:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:58:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:58:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:58:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [07/Aug/2018:09:58:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5477
