127.0.0.1 - - [20/Aug/2018:09:26:27 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:26:31 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:26:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:18 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:18 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:18 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:18 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:18 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:19 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:19 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 500 8500
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:33 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:33 +0530] "POST /fundoo/user/login HTTP/1.1" 202 223
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 8505
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 8505
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/image/567.jpg HTTP/1.1" 200 71640
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/image/wert.jpeg HTTP/1.1" 200 74592
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/image/212122.jpeg HTTP/1.1" 200 13184
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/image/345.jpg HTTP/1.1" 200 6819
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:34 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "POST /fundoo/getUrlData HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "POST /fundoo/getUrlData HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "POST /fundoo/getUrlData HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:35 +0530] "POST /fundoo/getUrlData HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "POST /fundoo/getUrlData HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "POST /fundoo/getUrlData HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:36 +0530] "POST /fundoo/getUrlData HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:27:48 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:07 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:07 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 8505
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 8505
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:07 +0530] "GET /fundoo/image/567.jpg HTTP/1.1" 200 71640
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:07 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:07 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/image/wert.jpeg HTTP/1.1" 200 74592
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/image/212122.jpeg HTTP/1.1" 200 13184
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/image/345.jpg HTTP/1.1" 200 6819
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:08 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:09 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:09 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:09 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:09 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [20/Aug/2018:09:28:09 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
