127.0.0.1 - - [15/Oct/2018:09:46:52 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:46:56 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:46:58 +0530] "POST /fundoo/user/login HTTP/1.1" 202 235
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:46:58 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:46:58 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:46:58 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:46:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:46:58 +0530] "GET /fundoo/getUser HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:52:27 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:52:27 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:58:12 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:58:12 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:58:12 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:58:27 +0530] "OPTIONS /fundoo/user/updateNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:58:27 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [15/Oct/2018:09:58:49 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
