127.0.0.1 - - [24/Aug/2018:11:20:14 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:15 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:27 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:32 +0530] "POST /fundoo/user/login HTTP/1.1" 202 223
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:32 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:32 +0530] "OPTIONS /fundoo/getAllCollaboratedNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:32 +0530] "OPTIONS /fundoo/getAllCollaboratedNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:32 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:32 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:32 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:32 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:32 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 12
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 12
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 12
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 12
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 12
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/image/567.jpg HTTP/1.1" 200 71640
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 12
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [24/Aug/2018:11:20:33 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
