127.0.0.1 - - [08/Aug/2018:08:41:12 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:13 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:21 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:23 +0530] "POST /fundoo/user/login HTTP/1.1" 202 223
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:32 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:33 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:33 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:33 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:41:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:43:12 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:43:12 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:43:12 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:43:45 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:44:59 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:44:59 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:44:59 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:45:01 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:45:01 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:45:01 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:47:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:47:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:47:23 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:47:24 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:47:24 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:47:24 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:48:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:48:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:48:34 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:50:50 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:50:50 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:50:50 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:50:52 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:50:52 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:50:52 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:23 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:35 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:35 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:35 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:35 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:51:37 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:53:25 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:53:25 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:53:25 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:53:27 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:53:27 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5474
0:0:0:0:0:0:0:1 - - [08/Aug/2018:08:53:27 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2203
