127.0.0.1 - - [25/Jul/2018:10:54:40 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:54:41 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:54:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:54:48 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:54:49 +0530] "POST /fundoo/user/login HTTP/1.1" 202 159
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:54:49 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:10:54:49 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:21:58 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:21:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:22:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:22:24 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:23:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:23:08 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:23:50 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:23:51 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:24:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:24:30 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:25:10 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:25:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:26:01 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:26:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:26:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:26:20 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:27:06 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:27:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:28:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:28:06 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:28:21 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:30:21 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:31:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:31:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:32:04 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:32:04 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:32:52 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:32:53 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:33:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:33:04 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:33:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:38:31 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:38:32 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:42:58 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:42:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:42:59 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:42:59 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:49:45 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:49:46 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:49:56 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:51:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:51:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:51:32 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:51:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:51:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:51:59 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:18 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:31 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:32 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:47 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:48 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:52:50 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:53:23 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:53:24 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:53:24 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:53:28 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:53:52 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:53:53 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:56:15 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:56:36 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:56:42 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:57:16 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:57:16 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:57:20 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:11:57:21 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:02:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:02:06 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:02:21 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:02:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:02:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:02:26 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:02:27 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:03:59 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:03:59 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:04:00 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:04:00 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:04:38 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:04:39 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:09:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:09:04 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:09:40 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:09:41 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:10:18 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:10:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:11:44 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:11:45 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:14:22 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:14:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:14:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:15:16 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:15:25 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:15:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:16:01 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:16:21 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [25/Jul/2018:12:16:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 4290
