127.0.0.1 - - [27/Jul/2018:11:28:46 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:28:47 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:28:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:28:58 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:28:59 +0530] "POST /fundoo/user/login HTTP/1.1" 202 159
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:28:59 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:28:59 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:29:53 +0530] "OPTIONS /fundoo/user/updateNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:29:54 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:29:54 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:29:56 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:29:56 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:30:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:30:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:30:36 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:30:41 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:31:28 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:31:32 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:31:54 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:31:55 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:31:55 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:31:58 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:31:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:32:00 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:32:00 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:32:12 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:32:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:34:39 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:34:39 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:34:40 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:34:45 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:34:46 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:34:50 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:34:50 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:35:57 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:35:57 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:35:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:12 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:30 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:43 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:44 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:36:48 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:37:13 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:37:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:38:52 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:38:53 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:39:15 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:39:15 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:39:16 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:39:21 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:39:45 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:39:46 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:39:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:41:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:41:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:41:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:42:01 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:42:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:42:09 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:42:10 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:42:15 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:42:48 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:42:49 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:42:52 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:43:07 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:43:08 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:43:09 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:43:09 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:43:10 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:43:21 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:46:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:46:20 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:46:28 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:46:42 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:47:04 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:47:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:47:48 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:48:04 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:48:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:48:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:48:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:49:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:49:12 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:49:27 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:49:27 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:49:28 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:49:52 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:49:53 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:49:54 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:50:10 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:50:10 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [27/Jul/2018:11:50:25 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2546
