127.0.0.1 - - [19/Oct/2018:13:28:38 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:28:41 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:28:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:28:49 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:28:50 +0530] "POST /fundoo/user/login HTTP/1.1" 202 235
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:28:50 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:28:50 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:28:50 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:28:50 +0530] "GET /fundoo/getUser HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:28:50 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:29:37 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:29:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:30:48 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:32:38 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:33:18 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:37:55 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:41:16 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:41:26 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:46:53 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:46:53 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:13:46:53 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:06:19 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:06:19 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:06:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:06:23 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:06:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:06:32 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:06:33 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:07:46 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:07:46 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:10:23 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:10:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:18:56 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:21:15 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:21:15 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:25:29 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:25:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:27:22 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:27:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:42:57 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:42:57 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:42:57 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:43:05 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:43:05 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:43:09 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:43:09 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:47:44 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:47:44 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:47:58 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:47:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:48:08 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:48:09 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:52:31 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:52:31 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:54:22 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:54:22 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:54:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:57:22 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:57:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:58:21 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:14:58:21 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:00:23 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:00:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:00:37 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:00:37 +0530] "POST /fundoo/user/login HTTP/1.1" 202 235
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:00:37 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:00:37 +0530] "GET /fundoo/getUser HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:10:31 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:10:31 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:10:31 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:14:14 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:14:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:14:37 +0530] "GET /fundoo/image/11111.jpeg HTTP/1.1" 200 9411
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:14:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:16:34 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:16:34 +0530] "POST /fundoo/user/login HTTP/1.1" 202 235
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:16:34 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:16:34 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [19/Oct/2018:15:16:35 +0530] "GET /fundoo/getUser HTTP/1.1" 200 257
