127.0.0.1 - - [05/Aug/2018:12:38:46 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:38:49 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:38:50 +0530] "POST /fundoo/user/login HTTP/1.1" 202 223
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:38:50 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:38:50 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:38:50 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:38:51 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:38:58 +0530] "OPTIONS /fundoo/user/updateNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:38:58 +0530] "PUT /fundoo/user/updateNote HTTP/1.1" 202 59
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:38:58 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:39:56 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:39:56 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:42:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:42:29 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:42:38 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:42:38 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:55:22 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:55:22 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:55:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:55:22 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:55:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:12:55:23 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:04:36 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:04:36 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:14:01 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:14:01 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:14:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:14:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:14:18 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:14:18 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:14:20 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:14:20 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:15:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:15:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:15:04 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:15:04 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:15:06 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:15:06 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:28:40 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:28:40 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:28:40 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:28:40 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:28:41 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:28:41 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:30:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:30:11 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:30:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:30:13 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:31:17 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:31:17 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:35:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:35:14 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:35:16 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:35:16 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:35:18 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:35:18 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:35:19 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:35:20 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5167
