127.0.0.1 - - [23/Aug/2018:09:24:22 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:24:23 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:24:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:00 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "POST /fundoo/user/login HTTP/1.1" 202 223
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/getAllCollaboratedNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/getAllCollaboratedNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/getUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:01 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/image/567.jpg HTTP/1.1" 200 71640
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 85442
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/image/123.jpg HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:02 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getAllCollaboratedNotes HTTP/1.1" 201 883
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "GET /fundoo/getUser HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [23/Aug/2018:09:31:03 +0530] "OPTIONS /fundoo/getUrlData HTTP/1.1" 200 -
