127.0.0.1 - - [14/Aug/2018:09:08:54 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:10 +0530] "GET /fundoo/ HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:26 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:26 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:26 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:27 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:27 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:27 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:28 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:28 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:28 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:28 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:36 +0530] "OPTIONS /fundoo/user/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "POST /fundoo/user/login HTTP/1.1" 202 223
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:09:37 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:11:48 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:11:48 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:11:48 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:11:49 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:11:49 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:11:49 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:11:49 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:03 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:03 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:04 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:04 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:04 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:04 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:25 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:25 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:25 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:25 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:25 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:25 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:25 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:38 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:38 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:38 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:38 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:38 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:38 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:12:38 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:13:10 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:13:10 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:13:10 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:13:10 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:13:10 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:13:10 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:13:10 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:19:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:19:35 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:19:35 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:19:49 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:19:49 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:19:49 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:19:49 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:46 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:46 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:46 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:46 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:46 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:46 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:47 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:47 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:47 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:47 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:51 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:51 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:51 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:51 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:51 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:51 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:36:51 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:47 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:47 +0530] "OPTIONS /fundoo/user/displayNote HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:47 +0530] "OPTIONS /fundoo/user/displayLabel HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:47 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:47 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:47 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:47 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:48 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:48 +0530] "GET /fundoo/image/welcome.jpg HTTP/1.1" 200 17826
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:48 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:48 +0530] "GET /fundoo/image/rakshabandhan.jpg HTTP/1.1" 200 14199
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:48 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:48 +0530] "GET /fundoo/user/displayNote HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:48 +0530] "GET /fundoo/user/displayLabel HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:49 +0530] "GET /fundoo/image/rose.jpeg HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [14/Aug/2018:09:37:49 +0530] "GET /fundoo/image/indepenenceday.jpg HTTP/1.1" 200 14082
